"Step","celu+avg+3*3*3+tri - Top-5 accuracy","celu+avg+3*3*3+tri - Top-5 accuracy__MIN","celu+avg+3*3*3+tri - Top-5 accuracy__MAX","celu+avg+3*3*3+tri+SE - Top-5 accuracy","celu+avg+3*3*3+tri+SE - Top-5 accuracy__MIN","celu+avg+3*3*3+tri+SE - Top-5 accuracy__MAX","celu+avg+3*3*3 - Top-5 accuracy","celu+avg+3*3*3 - Top-5 accuracy__MIN","celu+avg+3*3*3 - Top-5 accuracy__MAX"
"0","48.5813671875","48.5813671875","48.5813671875","52","52","52","16.38","16.38","16.38"
"1","57.872265625","57.872265625","57.872265625","61.17","61.17","61.17","28.92","28.92","28.92"
"2","64.0212890625","64.0212890625","64.0212890625","68.17","68.17","68.17","34.86","34.86","34.86"
"3","68.0814453125","68.0814453125","68.0814453125","71.41","71.41","71.41","43.84","43.84","43.84"
"4","64.13109375","64.13109375","64.13109375","74.37","74.37","74.37","46.89","46.89","46.89"
"5","72.56140625","72.56140625","72.56140625","76.28","76.28","76.28","53.27","53.27","53.27"
"6","71.3710546875","71.3710546875","71.3710546875","76.22","76.22","76.22","57.71","57.71","57.71"
"7","74.4710546875","74.4710546875","74.4710546875","77.88","77.88","77.88","62.14","62.14","62.14"
"8","71.91125","71.91125","71.91125","79.42","79.42","79.42","64.54","64.54","64.54"
"9","78.0012890625","78.0012890625","78.0012890625","80.09","80.09","80.09","69.5","69.5","69.5"
"10","79.0512890625","79.0512890625","79.0512890625","80.84","80.84","80.84","71.15","71.15","71.15"
"11","77.0715625","77.0715625","77.0715625","81.51","81.51","81.51","71.43","71.43","71.43"
"12","79.321328125","79.321328125","79.321328125","81.67","81.67","81.67","74.35","74.35","74.35"
"13","80.7911328125","80.7911328125","80.7911328125","81.97","81.97","81.97","74.85","74.85","74.85"
"14","81.1312890625","81.1312890625","81.1312890625","81.77","81.77","81.77","76.41","76.41","76.41"
"15","79.18140625","79.18140625","79.18140625","81.85","81.85","81.85","74.96","74.96","74.96"
"16","81.1712109375","81.1712109375","81.1712109375","82.35","82.35","82.35","77.21","77.21","77.21"
"17","82.691171875","82.691171875","82.691171875","82.34","82.34","82.34","78.56","78.56","78.56"
"18","81.69140625","81.69140625","81.69140625","82.46","82.46","82.46","77.67","77.67","77.67"
"19","81.32109375","81.32109375","81.32109375","82.15","82.15","82.15","78.91","78.91","78.91"
"20","81.091171875","81.091171875","81.091171875","81.72","81.72","81.72","79.39","79.39","79.39"
"21","82.21140625","82.21140625","82.21140625","82.07","82.07","82.07","78.83","78.83","78.83"
"22","82.1012890625","82.1012890625","82.1012890625","82.32","82.32","82.32","78.88","78.88","78.88"
"23","80.2416796875","80.2416796875","80.2416796875","82.53","82.53","82.53","80.61","80.61","80.61"
"24","80.8413671875","80.8413671875","80.8413671875","82.04","82.04","82.04","81.05","81.05","81.05"
"25","81.331015625","81.331015625","81.331015625","81.89","81.89","81.89","79.99","79.99","79.99"
"26","81.791171875","81.791171875","81.791171875","81.47","81.47","81.47","79.98","79.98","79.98"
"27","81.46125","81.46125","81.46125","81.77","81.77","81.77","80.73","80.73","80.73"
"28","81.4212109375","81.4212109375","81.4212109375","82.28","82.28","82.28","80.92","80.92","80.92"
"29","81.711875","81.711875","81.711875","82.02","82.02","82.02","80.97","80.97","80.97"
"30","84.1515625","84.1515625","84.1515625","84.7","84.7","84.7","85.32","85.32","85.32"
"31","84.4714453125","84.4714453125","84.4714453125","84.6","84.6","84.6","85.45","85.45","85.45"
"32","84.141484375","84.141484375","84.141484375","84.85","84.85","84.85","85.57","85.57","85.57"
"33","84.5513671875","84.5513671875","84.5513671875","84.8","84.8","84.8","85.53","85.53","85.53"
"34","84.5714453125","84.5714453125","84.5714453125","84.85","84.85","84.85","85.6","85.6","85.6"
"35","84.4014453125","84.4014453125","84.4014453125","84.77","84.77","84.77","85.37","85.37","85.37"
"36","84.4313671875","84.4313671875","84.4313671875","84.68","84.68","84.68","85.21","85.21","85.21"
"37","84.5512890625","84.5512890625","84.5512890625","84.69","84.69","84.69","85.41","85.41","85.41"
"38","84.501328125","84.501328125","84.501328125","84.8","84.8","84.8","85.21","85.21","85.21"
"39","84.57125","84.57125","84.57125","84.69","84.69","84.69","85.31","85.31","85.31"
"40","84.711328125","84.711328125","84.711328125","84.63","84.63","84.63","85.23","85.23","85.23"
"41","84.711328125","84.711328125","84.711328125","84.73","84.73","84.73","84.9","84.9","84.9"
"42","84.621328125","84.621328125","84.621328125","84.48","84.48","84.48","84.9","84.9","84.9"
"43","84.8413671875","84.8413671875","84.8413671875","84.55","84.55","84.55","84.9","84.9","84.9"
"44","84.7812890625","84.7812890625","84.7812890625","84.52","84.52","84.52","84.82","84.82","84.82"
"45","84.6913671875","84.6913671875","84.6913671875","84.57","84.57","84.57","85.08","85.08","85.08"
"46","84.761328125","84.761328125","84.761328125","84.57","84.57","84.57","84.9","84.9","84.9"
"47","84.541328125","84.541328125","84.541328125","84.53","84.53","84.53","84.78","84.78","84.78"
"48","84.591328125","84.591328125","84.591328125","84.68","84.68","84.68","85.02","85.02","85.02"
"49","84.6313671875","84.6313671875","84.6313671875","84.58","84.58","84.58","84.63","84.63","84.63"
